Year,Fires,Acres,Forest Service,DOI Agencies,Total
1985,"82,591",2896147,"$161,505,000.00","$78,438,000.00","$239,943,000.00"
1986,"85,907",2719162,"$111,625,000.00","$91,153,000.00","$202,778,000.00"
1987,"71,300",2447296,"$253,657,000.00","$81,452,000.00","$335,109,000.00"
1988,"72,750",5009290,"$429,609,000.00","$149,317,000.00","$578,926,000.00"
1989,"48,949",1827310,"$331,672,000.00","$168,115,000.00","$499,787,000.00"
1990,"66,481",4621621,"$253,700,000.00","$144,252,000.00","$397,952,000.00"
1991,"75,754",2953578,"$132,300,000.00","$73,820,000.00","$206,120,000.00"
1992,"87,394",2069929,"$290,300,000.00","$87,166,000.00","$377,466,000.00"
1993,"58,810",1797574,"$184,000,000.00","$56,436,000.00","$240,436,000.00"
1994,"79,107",4073579,"$757,200,000.00","$161,135,000.00","$918,335,000.00"
1995,"82,234",1840546,"$367,000,000.00","$110,126,000.00","$477,126,000.00"
1996,"96,363",6065998,"$547,500,000.00","$153,683,000.00","$701,183,000.00"
1997,"66,196",2856959,"$179,100,000.00","$105,048,000.00","$284,148,000.00"
1998,"81,043",1329704,"$306,800,000.00","$109,904,000.00","$416,704,000.00"
1999,"92,487",5626093,"$361,100,000.00","$154,416,000.00","$515,516,000.00"
2000,"92,250",7383493,"$1,076,000,000.00","$334,802,000.00","$1,410,802,000.00"
2001,"84,079",3570911,"$683,122,000.00","$269,574,000.00","$952,696,000.00"
2002,"73,457",7184712,"$1,279,000,000.00","$395,040,000.00","$1,674,040,000.00"
2003,"63,629",3960842,"$1,023,500,000.00","$303,638,000.00","$1,327,138,000.00"
2004,"65,461",8097880,"$726,000,000.00","$281,244,000.00","$1,007,244,000.00"
2005,"66,753",8689389,"$524,900,000.00","$294,054,000.00","$818,954,000.00"
2006,"96,385",9873745,"$1,280,419,000.00","$424,058,000.00","$1,704,477,000.00"
2007,"85,705",9328045,"$1,149,654,000.00","$470,491,000.00","$1,620,145,000.00"
2008,"78,979",5292468,"$1,193,073,000.00","$392,783,000.00","$1,585,856,000.00"
2009,"78,792",5921786,"$702,111,000.00","$218,418,000.00","$920,529,000.00"
2010,"71,971",3422724,"$578,285,000.00","$231,214,000.00","$809,499,000.00"
2011,"74,126",8711367,"$1,055,736,000.00","$318,789,000.00","$1,374,525,000.00"
2012,"67,774",9326238,"$1,436,614,000.00","$465,832,000.00","$1,902,446,000.00"
2013,"47,579",4319546,"$1,341,735,000.00","$399,199,000.00","$1,740,934,000.00"
2014,"63,212",3595613,"$1,195,955,000.00","$326,194,000.00","$1,522,149,000.00"
2015,"68,151",10125149,"$1,713,000,000.00","$417,543,000.00","$2,130,543,000.00"
2016,"67,595",5503538,"$1,603,806,000.00","$371,739,000.00","$1,975,545,000.00"
2017,"71,499",10026086,"$2,410,165,000.00","$508,000,000.00","$2,918,165,000.00"
